date,store_id,product_id,units_sold
2024-01-01,store_1,product_1,45
2024-01-01,store_1,product_2,19
2024-01-01,store_1,product_3,28
2024-01-01,store_1,product_4,18
2024-01-01,store_1,product_5,21
2024-01-01,store_1,product_6,38
2024-01-01,store_2,product_1,9
2024-01-01,store_2,product_2,32
2024-01-01,store_2,product_3,43
2024-01-01,store_2,product_4,24
2024-01-01,store_2,product_5,30
2024-01-01,store_2,product_6,38
2024-01-01,store_3,product_1,23
2024-01-01,store_3,product_2,3
2024-01-01,store_3,product_3,40
2024-01-01,store_3,product_4,49
2024-01-01,store_3,product_5,23
2024-01-01,store_3,product_6,15
2024-01-01,store_4,product_1,32
2024-01-01,store_4,product_2,11
2024-01-01,store_4,product_3,12
2024-01-01,store_4,product_4,50
2024-01-01,store_4,product_5,14
2024-01-01,store_4,product_6,3
2024-01-01,store_5,product_1,12
2024-01-01,store_5,product_2,17
2024-01-01,store_5,product_3,17
2024-01-01,store_5,product_4,19
2024-01-01,store_5,product_5,26
2024-01-01,store_5,product_6,33
2024-01-02,store_1,product_1,14
2024-01-02,store_1,product_2,10
2024-01-02,store_1,product_3,37
2024-01-02,store_1,product_4,17
2024-01-02,store_1,product_5,51
2024-01-02,store_1,product_6,19
2024-01-02,store_2,product_1,12
2024-01-02,store_2,product_2,31
2024-01-02,store_2,product_3,37
2024-01-02,store_2,product_4,39
2024-01-02,store_2,product_5,25
2024-01-02,store_2,product_6,28
2024-01-02,store_3,product_1,13
2024-01-02,store_3,product_2,9
2024-01-02,store_3,product_3,47
2024-01-02,store_3,product_4,36
2024-01-02,store_3,product_5,61
2024-01-02,store_3,product_6,7
2024-01-02,store_4,product_1,40
2024-01-02,store_4,product_2,18
2024-01-02,store_4,product_3,9
2024-01-02,store_4,product_4,8
2024-01-02,store_4,product_5,7
2024-01-02,store_4,product_6,27
2024-01-02,store_5,product_1,11
2024-01-02,store_5,product_2,40
2024-01-02,store_5,product_3,30
2024-01-02,store_5,product_4,34
2024-01-02,store_5,product_5,8
2024-01-02,store_5,product_6,47
2024-01-03,store_1,product_1,40
2024-01-03,store_1,product_2,19
2024-01-03,store_1,product_3,50
2024-01-03,store_1,product_4,21
2024-01-03,store_1,product_5,38
2024-01-03,store_1,product_6,25
2024-01-03,store_2,product_1,7
2024-01-03,store_2,product_2,46
2024-01-03,store_2,product_3,40
2024-01-03,store_2,product_4,12
2024-01-03,store_2,product_5,40
2024-01-03,store_2,product_6,29
2024-01-03,store_3,product_1,54
2024-01-03,store_3,product_2,2
2024-01-03,store_3,product_3,26
2024-01-03,store_3,product_4,42
2024-01-03,store_3,product_5,13
2024-01-03,store_3,product_6,35
2024-01-03,store_4,product_1,20
2024-01-03,store_4,product_2,32
2024-01-03,store_4,product_3,8
2024-01-03,store_4,product_4,41
2024-01-03,store_4,product_5,18
2024-01-03,store_4,product_6,43
2024-01-03,store_5,product_1,8
2024-01-03,store_5,product_2,38
2024-01-03,store_5,product_3,41
2024-01-03,store_5,product_4,17
2024-01-03,store_5,product_5,26
2024-01-03,store_5,product_6,17
2024-01-04,store_1,product_1,11
2024-01-04,store_1,product_2,21
2024-01-04,store_1,product_3,48
2024-01-04,store_1,product_4,31
2024-01-04,store_1,product_5,37
2024-01-04,store_1,product_6,18
2024-01-04,store_2,product_1,20
2024-01-04,store_2,product_2,49
2024-01-04,store_2,product_3,34
2024-01-04,store_2,product_4,37
2024-01-04,store_2,product_5,24
2024-01-04,store_2,product_6,27
2024-01-04,store_3,product_1,19
2024-01-04,store_3,product_2,13
2024-01-04,store_3,product_3,32
2024-01-04,store_3,product_4,31
2024-01-04,store_3,product_5,38
2024-01-04,store_3,product_6,18
2024-01-04,store_4,product_1,26
2024-01-04,store_4,product_2,37
2024-01-04,store_4,product_3,12
2024-01-04,store_4,product_4,29
2024-01-04,store_4,product_5,13
2024-01-04,store_4,product_6,25
2024-01-04,store_5,product_1,8
2024-01-04,store_5,product_2,13
2024-01-04,store_5,product_3,47
2024-01-04,store_5,product_4,30
2024-01-04,store_5,product_5,39
2024-01-04,store_5,product_6,39
2024-01-05,store_1,product_1,13
2024-01-05,store_1,product_2,33
2024-01-05,store_1,product_3,7
2024-01-05,store_1,product_4,41
2024-01-05,store_1,product_5,24
2024-01-05,store_1,product_6,7
2024-01-05,store_2,product_1,39
2024-01-05,store_2,product_2,53
2024-01-05,store_2,product_3,34
2024-01-05,store_2,product_4,25
2024-01-05,store_2,product_5,33
2024-01-05,store_2,product_6,49
2024-01-05,store_3,product_1,35
2024-01-05,store_3,product_2,8
2024-01-05,store_3,product_3,21
2024-01-05,store_3,product_4,40
2024-01-05,store_3,product_5,43
2024-01-05,store_3,product_6,26
2024-01-05,store_4,product_1,34
2024-01-05,store_4,product_2,15
2024-01-05,store_4,product_3,5
2024-01-05,store_4,product_4,40
2024-01-05,store_4,product_5,13
2024-01-05,store_4,product_6,17
2024-01-05,store_5,product_1,17
2024-01-05,store_5,product_2,58
2024-01-05,store_5,product_3,25
2024-01-05,store_5,product_4,41
2024-01-05,store_5,product_5,24
2024-01-05,store_5,product_6,41
2024-01-06,store_1,product_1,37
2024-01-06,store_1,product_2,14
2024-01-06,store_1,product_3,2
2024-01-06,store_1,product_4,32
2024-01-06,store_1,product_5,49
2024-01-06,store_1,product_6,50
2024-01-06,store_2,product_1,7
2024-01-06,store_2,product_2,30
2024-01-06,store_2,product_3,41
2024-01-06,store_2,product_4,34
2024-01-06,store_2,product_5,26
2024-01-06,store_2,product_6,47
2024-01-06,store_3,product_1,52
2024-01-06,store_3,product_2,4
2024-01-06,store_3,product_3,12
2024-01-06,store_3,product_4,21
2024-01-06,store_3,product_5,33
2024-01-06,store_3,product_6,14
2024-01-06,store_4,product_1,15
2024-01-06,store_4,product_2,11
2024-01-06,store_4,product_3,12
2024-01-06,store_4,product_4,33
2024-01-06,store_4,product_5,28
2024-01-06,store_4,product_6,35
2024-01-06,store_5,product_1,15
2024-01-06,store_5,product_2,51
2024-01-06,store_5,product_3,15
2024-01-06,store_5,product_4,16
2024-01-06,store_5,product_5,37
2024-01-06,store_5,product_6,43
2024-01-07,store_1,product_1,30
2024-01-07,store_1,product_2,32
2024-01-07,store_1,product_3,15
2024-01-07,store_1,product_4,18
2024-01-07,store_1,product_5,37
2024-01-07,store_1,product_6,42
2024-01-07,store_2,product_1,27
2024-01-07,store_2,product_2,34
2024-01-07,store_2,product_3,35
2024-01-07,store_2,product_4,41
2024-01-07,store_2,product_5,43
2024-01-07,store_2,product_6,44
2024-01-07,store_3,product_1,28
2024-01-07,store_3,product_2,9
2024-01-07,store_3,product_3,50
2024-01-07,store_3,product_4,31
2024-01-07,store_3,product_5,20
2024-01-07,store_3,product_6,25
2024-01-07,store_4,product_1,26
2024-01-07,store_4,product_2,19
2024-01-07,store_4,product_3,12
2024-01-07,store_4,product_4,27
2024-01-07,store_4,product_5,8
2024-01-07,store_4,product_6,23
2024-01-07,store_5,product_1,16
